epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,246.392,0.63012,0.48779,0.24586,0.51942,1.33758,0.99811,1,0.995,0.84129,0.99811,1,0.995,0.73774,0.71215,0.82596,0.76708,0.7472,1.39608,0.004984,0.004984,0.004984
78,249.507,0.63061,0.46304,0.23029,0.51994,1.29526,0.9997,1,0.995,0.8807,0.9997,1,0.995,0.87752,0.62893,0.37782,0.0957,0.60142,1.13487,0.004918,0.004918,0.004918
79,252.503,0.58808,0.38452,0.20085,0.48139,1.28012,0.99834,1,0.995,0.89756,0.99834,1,0.995,0.87818,0.49847,0.37815,0.07168,0.45576,0.95175,0.004852,0.004852,0.004852
80,255.522,0.63516,0.43829,0.19675,0.52869,1.29977,0.99711,1,0.995,0.8998,0.99711,1,0.995,0.90331,0.46312,0.36657,0.04909,0.48016,0.94062,0.004786,0.004786,0.004786
81,258.566,0.64118,0.39859,0.23816,0.54651,1.34293,0.99603,1,0.995,0.88615,0.99603,1,0.995,0.90027,0.5018,0.36793,0.05541,0.67132,0.9891,0.00472,0.00472,0.00472
82,261.605,0.63103,0.52932,0.20957,0.52845,1.28912,0.99188,1,0.995,0.89479,0.99188,1,0.995,0.91458,0.51984,0.38651,0.10944,0.6838,0.99118,0.004654,0.004654,0.004654
83,264.667,0.58903,0.38425,0.22954,0.48741,1.25586,0.99768,1,0.995,0.90475,0.99768,1,0.995,0.94461,0.48008,0.34329,0.09242,0.46367,0.94427,0.004588,0.004588,0.004588
84,267.786,0.61773,0.44492,0.23194,0.53147,1.30977,0.99757,1,0.995,0.90876,0.99757,1,0.995,0.93949,0.44912,0.2947,0.04207,0.379,0.90101,0.004522,0.004522,0.004522
85,270.808,0.62963,0.44965,0.18797,0.54155,1.28974,0.99751,1,0.995,0.91746,0.99751,1,0.995,0.933,0.43808,0.29941,0.03727,0.3824,0.89789,0.004456,0.004456,0.004456
86,273.866,0.58315,0.30914,0.20629,0.48107,1.26869,0.9932,1,0.995,0.91761,0.9932,1,0.995,0.91142,0.50528,0.35673,0.03877,0.72346,0.95263,0.00439,0.00439,0.00439
87,276.995,0.62527,0.45848,0.19409,0.51383,1.31309,0.99252,1,0.995,0.89481,0.99252,1,0.995,0.90205,0.55325,0.4061,0.05522,0.75566,1.01994,0.004324,0.004324,0.004324
88,280.097,0.57552,0.46504,0.20591,0.47908,1.25896,0.98739,1,0.995,0.85497,0.98739,1,0.995,0.90988,0.57025,0.32952,0.0568,0.6809,0.99112,0.004258,0.004258,0.004258
