epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,278.048,0.14253,0.58946,0.34912,0.24308,0.94014,0.99654,1,0.995,0.995,0.99654,1,0.995,0.83806,0.21349,0.68771,0.11392,0.28432,0.50385,0.000515,0.000515,0.000515
77,281.706,0.1721,0.76449,0.37058,0.24995,0.92426,0.99659,1,0.995,0.995,0.99659,1,0.995,0.84355,0.22841,0.65937,0.12772,0.28216,0.52423,0.0004952,0.0004952,0.0004952
78,285.087,0.16336,0.64976,0.36393,0.27223,0.90276,0.9966,1,0.995,0.995,0.9966,1,0.995,0.82936,0.21593,0.64553,0.14837,0.26681,0.5156,0.0004754,0.0004754,0.0004754
79,288.251,0.14844,0.59768,0.3371,0.24975,0.93925,0.99664,1,0.995,0.995,0.99664,1,0.995,0.8248,0.19079,0.62903,0.15776,0.26825,0.49484,0.0004556,0.0004556,0.0004556
80,291.446,0.15029,0.82286,0.40475,0.22264,0.92783,0.99665,1,0.995,0.995,0.99665,1,0.995,0.83865,0.15786,0.63089,0.17212,0.28405,0.45689,0.0004358,0.0004358,0.0004358
81,294.758,0.15077,0.63943,0.33232,0.25586,0.93472,0.99667,1,0.995,0.995,0.99667,1,0.995,0.81185,0.14746,0.65975,0.18036,0.26593,0.44741,0.000416,0.000416,0.000416
82,298.011,0.14012,0.55967,0.33382,0.25738,0.89804,0.99665,1,0.995,0.995,0.99665,1,0.995,0.80672,0.14229,0.7273,0.18666,0.24534,0.44561,0.0003962,0.0003962,0.0003962
83,301.412,0.13657,0.60424,0.33168,0.24628,0.94364,0.99668,1,0.995,0.995,0.99668,1,0.995,0.82181,0.14266,0.68982,0.18516,0.24198,0.44304,0.0003764,0.0003764,0.0003764
84,304.867,0.12928,0.504,0.30773,0.22642,0.91986,0.99669,1,0.995,0.995,0.99669,1,0.995,0.83305,0.14402,0.6354,0.19352,0.23531,0.44699,0.0003566,0.0003566,0.0003566
85,308.705,0.13612,0.71629,0.37101,0.2626,0.93878,0.99665,1,0.995,0.995,0.99665,1,0.995,0.84552,0.14355,0.62865,0.21691,0.24183,0.44539,0.0003368,0.0003368,0.0003368
86,312.573,0.12091,0.55337,0.35931,0.19628,0.89718,0.99667,1,0.995,0.995,0.99667,1,0.995,0.83058,0.14934,0.65662,0.25983,0.23181,0.45046,0.000317,0.000317,0.000317
87,316.127,0.13763,0.66923,0.36984,0.20399,0.92124,0.99663,1,0.995,0.995,0.99663,1,0.995,0.82355,0.14345,0.73534,0.24882,0.22646,0.44359,0.0002972,0.0002972,0.0002972
88,319.751,0.12393,0.64187,0.32662,0.2247,0.93795,0.99669,1,0.995,0.995,0.99669,1,0.995,0.81737,0.13492,0.75995,0.24244,0.21501,0.44059,0.0002774,0.0002774,0.0002774
89,323.238,0.12333,0.57998,0.3082,0.24777,0.91286,0.99667,1,0.995,0.995,0.99667,1,0.995,0.80622,0.13007,0.76987,0.23205,0.19964,0.43634,0.0002576,0.0002576,0.0002576
90,326.84,0.13138,0.50761,0.34069,0.2454,0.90936,0.9967,1,0.995,0.995,0.9967,1,0.995,0.80212,0.12853,0.72407,0.23628,0.19284,0.43466,0.0002378,0.0002378,0.0002378
91,330.328,0.23073,0.9179,0.40522,0.84738,1.02597,0.9967,1,0.995,0.995,0.9967,1,0.995,0.80212,0.12853,0.72407,0.23628,0.19284,0.43466,0.000218,0.000218,0.000218
92,333.825,0.17284,0.70515,0.34024,0.64782,0.98724,0.99671,1,0.995,0.995,0.99671,1,0.995,0.82257,0.13411,0.68508,0.23401,0.17448,0.43658,0.0001982,0.0001982,0.0001982
93,337.264,0.15861,0.84362,0.38051,0.5438,0.96041,0.99671,1,0.995,0.995,0.99671,1,0.995,0.82495,0.13906,0.65107,0.19871,0.17308,0.44094,0.0001784,0.0001784,0.0001784
94,340.607,0.17725,0.91685,0.35937,0.43545,1.01508,0.99662,1,0.995,0.995,0.99662,1,0.995,0.82932,0.14081,0.61892,0.18969,0.17717,0.44334,0.0001586,0.0001586,0.0001586
95,343.658,0.15467,0.68086,0.36354,0.32275,0.94345,0.99654,1,0.995,0.995,0.99654,1,0.995,0.82541,0.13764,0.61059,0.16491,0.17688,0.43908,0.0001388,0.0001388,0.0001388
96,346.973,0.16058,0.81119,0.3831,0.25566,0.99306,0.99651,1,0.995,0.995,0.99651,1,0.995,0.82238,0.13789,0.60572,0.16312,0.18224,0.44068,0.000119,0.000119,0.000119
97,350.534,0.13887,0.66401,0.28134,0.24864,0.9335,0.99641,1,0.995,0.995,0.99641,1,0.995,0.82266,0.13407,0.59672,0.15148,0.18039,0.43588,9.92e-05,9.92e-05,9.92e-05
98,353.974,0.12228,0.6879,0.33763,0.21501,0.93096,0.99641,1,0.995,0.995,0.99641,1,0.995,0.83585,0.12949,0.6009,0.14152,0.1757,0.42895,7.94e-05,7.94e-05,7.94e-05
99,357.431,0.14616,0.79514,0.35476,0.20135,0.94161,0.99648,1,0.995,0.995,0.99648,1,0.995,0.84088,0.12447,0.59314,0.1427,0.18215,0.42097,5.96e-05,5.96e-05,5.96e-05
100,360.778,0.11749,0.81633,0.3418,0.1909,0.93654,0.99643,1,0.995,0.995,0.99643,1,0.995,0.84094,0.12143,0.5885,0.14177,0.18347,0.41853,3.98e-05,3.98e-05,3.98e-05
